Questão;alternativa1;alternativa2;alternativa3;alternativa4;alternativa5
Qual é a capital do Brasil?;Brasília;Rio de Janeiro;São Paulo;Salvador;Fortaleza
Explique brevemente o que é PHP;;;;;
Qual é o resultado de 2 + 2?;2;3;4;5;6
Descreva o ciclo da água;;;;;
Qual destes é um animal mamífero?;Crocodilo;Gato;Avestruz;Tubarão;Cobra
O que significa HTML?;;;;;
Qual é a cor do céu em um dia limpo?;Azul;Verde;Vermelho;Amarelo;Roxo
Explique a diferença entre GET e POST em formulários;;;;;
Qual destes é um planeta do sistema solar?;Marte;Lua;Sol;Cometa;Asteroide
Descreva seu animal favorito;;;;;
